task: 4118,3933,4925,2161,3711,4328,4201,4461,4675,702,5032,3194,3567,4181 | cost: 2302.329136499793
task: 1843,4204,573,4961,4987,4965,2404,685,3642,3814,3079,4550,2851,1896 | cost: 1853.1143419995715
task: 1377,564,1805,2358,3670,2054,594,4908,2766,2341,649 | cost: 1419.9322444997051
task: 3574 | cost: 42.389459499645454
task: 776,4995 | cost: 124.20773299982102
task: 4303,2608,4624,3418,2963,3180 | cost: 1104.9063455002397
task: 997,3441,3601,897,3870,1922,1964 | cost: 1555.8666414999607
task: 3716,4169,2247,2692,3922,3358,2330,1253,3060 | cost: 430.01694299982773
task: 2665,2915,2282,717,2868,4290,1739,2692,5100,3022,3802,4590,3268,202,2908 | cost: 2378.0947249997553
task: 1215,3192 | cost: 240.64411349991133
task: 3763,656,3603,4205,1756,3302,4104,4528,3454,961,1777,2475,3337,3883,4843 | cost: 3247.8234760001214
task: 1887,2276,1848,2295,3785,256,2707,1765,1295,126,2134,677 | cost: 1281.6994384997997
task: 3929,239,2736,4484,4451,1724,4987 | cost: 1296.9063875007123
task: 945,4156,4879,2242,2292,5063,1780,4747 | cost: 2827.7601460004007
task: 4179,1727,2147,5085,3110,4309,2210 | cost: 731.9772579999153
task: 1182,1116,2920,3501,3143,4773,915,4061 | cost: 1423.6282845004098
task: 975,4413,5030,4381,89,1771,1722,757,1758,1139,2475 | cost: 3121.5993665000497
task: 4820,2318,3180,995,3718,563,1811,1631,223,1499,4356 | cost: 1193.360816999757
task: 3700,3945,1602,4565,3896,3559,3340,5068,3884,3567,3469,4114,3122,2139 | cost: 1639.1721230002076
task: 3972,2439,2208,2247,1253,5001 | cost: 618.4515244995055
task: 770,4462 | cost: 389.4773939996412
task: 4434,4967,4995,206,3490,569,4207,2886,3731,4806,344 | cost: 1698.8660960000743
task: 2689,3677,2845,4283,3909,425,3221,3379,5094,4496,3932,4721,3991 | cost: 977.066817999912
task: 2871,2761,4494,2039,3763,2834,3006,3929,2778,3572,3267,97,2515,4845 | cost: 1823.633062999761
task: 1828,768 | cost: 431.1074430002009
task: 1031,1960,1658,3194,4841,4261,2397,1372,2814,2676,676 | cost: 247.01878099995156
task: 1955,3577,1408,835,3891,681 | cost: 586.464771500232
task: 3818,3606,3064,4468 | cost: 215.29904999988503
task: 482,2813,4935 | cost: 48.06687200061788
task: 4872,3486,883,3579,2371,1160,2487,2934,2527,541,3128,2406,5038 | cost: 3572.86725799986
task: 1313,5002,5006,1392,4923,1042,4030,2396,2640,369,3119,2508 | cost: 978.4624379999514
task: 2016,4158,3144,3012,445 | cost: 281.55814799993095
task: 3732,3695,2231,3925,2811,3473,3654,597,1447 | cost: 719.8956340002951
task: 4098,1551,3566,4300,2868 | cost: 1677.5708199998007
task: 3132,3785,3698,698,2141 | cost: 1867.6462900002662
task: 2288 | cost: 5.20138349975241
task: 4716,4429,3605,1500,4803,2332,4602,3345,337 | cost: 950.8947569997872
task: 4391,1267,3128,3781,4247,4384,3813,2817,4015,3721 | cost: 373.59483099999125
task: 308,569,4965,3223,4620,1996,3719,4496,2587,4428,4229,4287 | cost: 1284.885784999915
task: 2915,1233,1488,4493,3999,2759,4861,4447,4173,3505,3839 | cost: 455.1933449997705
task: 2551,1939,1921,3487,4256,3278,3489,1906,4352,2423,4966,4209,2364,3049,4132 | cost: 2722.6461219997873
task: 2104,2389,2424,1064,1866,4333,6,518,1609,2882,3365,3301,2456,3855 | cost: 1182.3181375002605
task: 1032,4695,3378,3635,3779,1436,5130,4834,927,1547,4503 | cost: 2659.0812589997768
task: 2103,2409,3717,2280,722,4156,4947,863,4483,4845,4677,2619,4225,3587,3594 | cost: 896.056624999801
task: 1222,3129,2843,4024,2436,4131,4862 | cost: 738.3940129998336
task: 2562,4634,643,4659,4510,592,1349,3766,5077,3315,167,1310,1860,4308,4966 | cost: 1210.9197350000613
task: 4462,1985,5118,2449,2998,4177,3726,3511,3961,4814,3869,3991,573,2424,5125 | cost: 895.7707335002851
task: 2202,1643,3980,4150 | cost: 73.69755400031863
task: 2742,2289,5065,140,1016,2587,2707,1978,4747 | cost: 1106.3797195001825
task: 2408,1047,4354,3671,3615,3651,4439,1919,5033,2901,1369,3936,2773 | cost: 1041.583714999888
task: 2825,959,3017,1593 | cost: 377.85407050023423
